id (from)	id(to)	distance
5	1079	1,13
1079	2012	0,31
2012	209	0,52
209	318	0,10
318	2555	0,81
2555	573	0,17
573	1198	0,96
1198	1705	1,76
1705	2746	0,63
2746	2338	1,61
2338	1189	0,88
1189	191	0,79
191	948	1,02
948	2076	0,67
2076	2275	0,44
2275	2901	1,06
2901	853	0,78
853	1218	2,01
1218	77	0,57
77	899	1,62
899	1110	2,96
1110	2407	0,12
2407	1402	0,49
1402	180	0,86
180	1896	1,66
1896	1173	0,19
1173	2842	0,69
2842	2134	0,90
2134	2807	0,17
2807	602	0,09
602	1915	0,14
1915	2825	1,61
2825	549	0,50
549	1153	0,91
1153	2682	0,29
2682	790	1,66
790	2573	0,48
2573	2072	5,42
2072	1576	4,23
1576	375	5,89
375	1598	14,03
1598	974	1,43
974	380	11,53
380	2101	14,94
2101	1381	10,67
